channel_id,region_id,reg_2Dloc
101,13,-2
102,13,2
103,13,-4
104,13,4
105,13,0
106,19,-1
107,19,1
108,19,-2
109,19,2
110,19,-3
111,19,3
112,22,-1
113,22,1
114,22,-2
115,22,2
116,22,-3
117,22,3
118,22,0
119,19,0
120,14,-1
121,14,1
122,14,-2
123,14,2
124,14,-3
125,14,3
126,14,-4
127,14,4
128,16,-1
129,16,1
130,16,-2
131,16,2
132,16,-3
133,16,3
134,16,0
135,12,-1
136,12,1
137,12,0
138,15,-4
139,15,4
140,14,0
141,25,-1
142,25,1
143,25,0
144,23,-1
145,23,0
146,23,1
147,23,-2
148,23,2
149,23,-3
150,23,3
151,23,-4
152,23,4
153,23,-5
154,24,-2
155,24,2
156,24,-4
157,24,4
158,24,0
159,23,0
160,18,-4
161,18,4
162,21,-4
163,21,4
