sensor_id,channel_id
1001235,135
1001236,136
1001222,122
1001223,123
1001208,108
1001209,109
1001247,147
1001248,148
1001241,141
1001242,142
1001226,126
1001227,127
1001260,160
1001261,161
1001251,151
1001252,152
1001240,140
1001219,119
1001259,159
1001243,143
1001228,128
1001229,129
1001212,112
1001213,113
1001232,132
1001233,133
1001216,116
1001217,117
1001244,144
1001246,146
1001206,106
1001207,107
1001201,101
1001202,102
1001230,130
1001231,131
1001214,114
1001215,115
1001254,154
1001255,155
1001224,124
1001225,125
1001210,110
1001211,111
1001249,149
1001250,150
1001238,138
1001239,139
1001262,162
1001263,163
1001256,156
1001257,157
1001237,137
1001218,118
1001258,158
1002235,135
1002236,136
1002226,126
1002222,122
1002240,140
1002223,123
1002227,127
1002232,132
1002228,128
1002229,129
1002233,133
1002260,160
1002208,108
1002219,119
1002209,109
1002261,161
1002216,116
1002212,112
1002213,113
1002217,117
1002251,151
1002247,147
1002259,159
1002248,148
1002252,152
1002241,141
1002243,143
1002242,142
1002203,103
1002201,101
1002202,102
1002204,104
1002224,124
1002220,120
1002221,121
1002225,125
1002238,138
1002230,130
1002231,131
1002239,139
1002210,110
1002206,106
1002207,107
1002211,111
1002262,162
1002214,114
1002218,118
1002215,115
1002263,163
1002249,149
1002244,144
1002246,146
1002250,150
1002256,156
1002254,154
1002258,158
1002255,155
1002257,157
1003235,135
1003236,136
1003222,122
1003223,123
1003208,108
1003209,109
1003247,147
1003248,148
1003241,141
1003242,142
1003226,126
1003227,127
1003260,160
1003261,161
1003251,151
1003252,152
1003240,140
1003219,119
1003259,159
1003243,143
1003228,128
1003229,129
1003212,112
1003213,113
1003232,132
1003233,133
1003216,116
1003217,117
1003244,144
1003246,146
1003206,106
1003207,107
1003201,101
1003202,102
1003230,130
1003231,131
1003214,114
1003215,115
1003254,154
1003255,155
1003224,124
1003225,125
1003210,110
1003211,111
1003249,149
1003250,150
1003238,138
1003239,139
1003262,162
1003263,163
1003256,156
1003257,157
1003237,137
1003218,118
1003258,158
