session_id,sensor_id,include
1001100,1001235,1
1001100,1001236,1
1001100,1001222,1
1001100,1001223,1
1001100,1001208,1
1001100,1001209,1
1001100,1001247,1
1001100,1001248,1
1001100,1001241,1
1001100,1001242,1
1001100,1001226,1
1001100,1001227,1
1001100,1001260,1
1001100,1001261,1
1001100,1001251,1
1001100,1001252,1
1001100,1001240,1
1001100,1001219,1
1001100,1001259,1
1001100,1001243,1
1001100,1001228,1
1001100,1001229,1
1001100,1001212,1
1001100,1001213,1
1001100,1001232,1
1001100,1001233,1
1001100,1001216,1
1001100,1001217,1
1001100,1001244,1
1001100,1001246,1
1001100,1001206,1
1001100,1001207,1
1001100,1001201,1
1001100,1001202,1
1001100,1001230,1
1001100,1001231,1
1001100,1001214,1
1001100,1001215,1
1001100,1001254,1
1001100,1001255,1
1001100,1001224,1
1001100,1001225,1
1001100,1001210,1
1001100,1001211,1
1001100,1001249,1
1001100,1001250,1
1001100,1001238,1
1001100,1001239,1
1001100,1001262,1
1001100,1001263,1
1001100,1001256,1
1001100,1001257,1
1001100,1001237,1
1001100,1001218,1
1001100,1001258,1
1001100,1001264,1
1001100,1001265,1
1002100,1002235,1
1002100,1002236,1
1002100,1002226,1
1002100,1002222,1
1002100,1002240,1
1002100,1002223,1
1002100,1002227,1
1002100,1002232,1
1002100,1002228,1
1002100,1002229,1
1002100,1002233,1
1002100,1002260,1
1002100,1002208,1
1002100,1002219,1
1002100,1002209,1
1002100,1002261,1
1002100,1002216,1
1002100,1002212,1
1002100,1002213,1
1002100,1002217,1
1002100,1002251,1
1002100,1002247,1
1002100,1002259,1
1002100,1002248,1
1002100,1002252,1
1002100,1002241,1
1002100,1002243,1
1002100,1002242,1
1002100,1002203,1
1002100,1002201,1
1002100,1002202,1
1002100,1002204,1
1002100,1002224,1
1002100,1002220,1
1002100,1002221,1
1002100,1002225,1
1002100,1002238,1
1002100,1002230,1
1002100,1002231,1
1002100,1002239,1
1002100,1002210,1
1002100,1002206,1
1002100,1002207,1
1002100,1002211,1
1002100,1002262,1
1002100,1002214,1
1002100,1002218,1
1002100,1002215,1
1002100,1002263,1
1002100,1002249,1
1002100,1002244,1
1002100,1002246,1
1002100,1002250,1
1002100,1002256,1
1002100,1002254,1
1002100,1002258,1
1002100,1002255,1
1002100,1002257,1
1002100,1002264,1
1003100,1003235,1
1003100,1003236,1
1003100,1003222,1
1003100,1003223,1
1003100,1003208,1
1003100,1003209,1
1003100,1003247,1
1003100,1003248,1
1003100,1003241,1
1003100,1003242,1
1003100,1003226,1
1003100,1003227,1
1003100,1003260,1
1003100,1003261,1
1003100,1003251,1
1003100,1003252,1
1003100,1003240,1
1003100,1003219,1
1003100,1003259,1
1003100,1003243,1
1003100,1003228,1
1003100,1003229,1
1003100,1003212,1
1003100,1003213,1
1003100,1003232,1
1003100,1003233,1
1003100,1003216,1
1003100,1003217,1
1003100,1003244,1
1003100,1003246,1
1003100,1003206,1
1003100,1003207,1
1003100,1003201,1
1003100,1003202,1
1003100,1003230,1
1003100,1003231,1
1003100,1003214,1
1003100,1003215,1
1003100,1003254,1
1003100,1003255,1
1003100,1003224,1
1003100,1003225,1
1003100,1003210,1
1003100,1003211,1
1003100,1003249,1
1003100,1003250,1
1003100,1003238,1
1003100,1003239,1
1003100,1003262,1
1003100,1003263,1
1003100,1003256,1
1003100,1003257,1
1003100,1003237,1
1003100,1003218,1
1003100,1003258,1
1003100,1003264,1
1003100,1003265,1
